LastName,FirstName,Score
Smith,John,15
Johnson,Emily,18
Williams,Michael,12
Thomas Grace,17
Jones,Olivia,10
Brown,James,19
Davis,Ava,14
Miller,Liam,7
Wilson,Sophia,16
Moore,Lucas,13
Taylor,Emma,11
Anderson,Logan,9
Thomas,Grace,17
Jackson,Ethan,8
White,Chloe,20
Harris,Jack,5
Martin,Lily,12
Thompson,Aiden,14
Garcia,Sofia,16
Martinez,Lucas,18
Lee,Zoe,10
Jones,123,17
Hall,Noah,11
Hernandez,Mia,9
Wright,Elijah,15
Turner,Amelia,13
Cooper,Layla,10
Hill,Avery,16
Scott,Dylan,7
Adams,Ella,19
Carter,Aiden,14
King,Isabella,12
Ward,Oliver,11
Baker,Scarlett,18
Lewis,Connor,8
Clark,Hannah,15
Green,Matthew,10
Evans,Grace,12
Murphy,Liam,16
Doe,Jane,invalid
Parker,Aria,9
Fisher,Sophie,13
Collins,Alexander,7
Barnes,Abigail,17
Allen,Ethan,14
Young,Ava,11
Turner,Elijah,19
Johnson,John,25
Hall,Mia,8
Baker Scarlett,,18
Baker,Owen,15
Fisher,Sophia,12
Mitchell,Landon,10
Hall,Zoe,16
Rodriguez,Emma,13
Stewart,Michael,18
Morris,Lily,9
Reed,Aiden,14
Lopez,Chloe,17
Barnes,Olivia,11
Nelson,Lucas,8
Ward,Avery,19
,,,
Collins,Sofia,16
Johnson,Liam,12
Davis,Hannah,15
Adams,Grace,10
Garcia,Noah,13
Stewart,Isabella,7
Lee,Ella,18
Martin,Logan,9
Taylor,Sophie,14
Jackson,Ethan,11
Turner,Oliver,12
Williams,Junior,-5
Williams,Aria,15
Hill,Abigail,8
Lewis,Landon,13
Thomas,Scarlett,19
Anderson,Zoe,10
Brown,Elijah,16
Carter,Amelia,9
Wright,Connor,14
Evans,Lily,17
White,Matthew,11
Smith,Dylan,8
Thompson,Sophia,12
Wilson,Jack,15
Cooper,Emma,18
Moore,Lucas,9
Scott,Grace,14
Murphy,Michael,10
King,Aiden,19
Davis,Ava,abc
Parker,Liam,16
Allen,Olivia,7
Hernandez,Ava,11
